Latitude_back72hr_30m[][0] Latitude_back72hr_30m[][1] Latitude_back72hr_30m[][2] Latitude_back72hr_30m[][3] Latitude_back72hr_30m[][4] Latitude_back72hr_30m[][5] Latitude_back72hr_30m[][6] Latitude_back72hr_30m[][7] Latitude_back72hr_30m[][8] Latitude_back72hr_30m[][9] Latitude_back72hr_30m[][10] Latitude_back72hr_30m[][11] Latitude_back72hr_30m[][12] Latitude_back72hr_30m[][13] Latitude_back72hr_30m[][14] Latitude_back72hr_30m[][15] Latitude_back72hr_30m[][16] Latitude_back72hr_30m[][17] Latitude_back72hr_30m[][18] Latitude_back72hr_30m[][19] Latitude_back72hr_30m[][20] Latitude_back72hr_30m[][21] Latitude_back72hr_30m[][22] Latitude_back72hr_30m[][23] Latitude_back72hr_30m[][24] Latitude_back72hr_30m[][25] Latitude_back72hr_30m[][26] Latitude_back72hr_30m[][27] Latitude_back72hr_30m[][28] Latitude_back72hr_30m[][29] Latitude_back72hr_30m[][30] Latitude_back72hr_30m[][31] Latitude_back72hr_30m[][32] Latitude_back72hr_30m[][33] Latitude_back72hr_30m[][34] Latitude_back72hr_30m[][35] Latitude_back72hr_30m[][36] Latitude_back72hr_30m[][37] Latitude_back72hr_30m[][38] Latitude_back72hr_30m[][39] Latitude_back72hr_30m[][40] Latitude_back72hr_30m[][41] Latitude_back72hr_30m[][42] Latitude_back72hr_30m[][43] Latitude_back72hr_30m[][44] Latitude_back72hr_30m[][45] Latitude_back72hr_30m[][46] Latitude_back72hr_30m[][47] Latitude_back72hr_30m[][48] Latitude_back72hr_30m[][49] Latitude_back72hr_30m[][50] Latitude_back72hr_30m[][51] Latitude_back72hr_30m[][52] Latitude_back72hr_30m[][53] Latitude_back72hr_30m[][54] Latitude_back72hr_30m[][55] Latitude_back72hr_30m[][56] Latitude_back72hr_30m[][57] Latitude_back72hr_30m[][58] Latitude_back72hr_30m[][59] Latitude_back72hr_30m[][60] Latitude_back72hr_30m[][61] Latitude_back72hr_30m[][62] Latitude_back72hr_30m[][63] Latitude_back72hr_30m[][64] Latitude_back72hr_30m[][65] Latitude_back72hr_30m[][66] Latitude_back72hr_30m[][67] Latitude_back72hr_30m[][68] Latitude_back72hr_30m[][69] Latitude_back72hr_30m[][70] Latitude_back72hr_30m[][71] Latitude_back72hr_30m[][72]
40.8 40.726 40.644 40.554 40.457 40.352 40.241 40.124 40 39.865 39.719 39.565 39.405 39.242 39.076 38.908 38.738 38.565 38.393 38.234 38.099 37.989 37.898 37.825 37.768 37.705 37.656 37.62 37.599 37.592 37.601 37.632 37.688 37.771 37.882 38.021 38.186 38.376 38.581 38.796 39.023 39.271 39.558 39.883 40.224 40.569 40.919 41.278 41.652 42.04 42.437 42.843 43.263 43.703 44.173 44.679 45.205 45.738 46.289 46.87 47.483 48.104 48.702 49.279 49.84 50.382 50.9 51.381 51.815 52.208 52.563 52.883 53.174
40.8 40.72 40.63 40.528 40.418 40.301 40.18 40.057 39.929 39.788 39.634 39.471 39.302 39.131 38.96 38.79 38.622 38.457 38.315 38.181 38.056 37.948 37.856 37.777 37.71 37.654 37.598 37.544 37.502 37.475 37.461 37.458 37.47 37.503 37.555 37.629 37.723 37.84 37.98 38.142 38.322 38.517 38.73 38.973 39.251 39.552 39.875 40.217 40.573 40.945 41.334 41.729 42.122 42.506 42.889 43.283 43.709 44.173 44.662 45.162 45.669 46.186 46.709 47.241 47.801 48.385 48.97 49.549 50.095 50.591 51.047 51.467 51.854
40.8 40.717 40.628 40.534 40.431 40.321 40.207 40.09 39.975 39.855 39.72 39.57 39.408 39.238 39.064 38.889 38.708 38.506 38.296 38.087 37.882 37.689 37.521 37.38 37.267 37.182 37.123 37.08 37.042 37.011 36.987 36.971 36.963 36.969 36.992 37.031 37.085 37.15 37.224 37.313 37.43 37.576 37.753 37.965 38.215 38.488 38.766 39.049 39.343 39.655 39.991 40.339 40.683 41.025 41.361 41.69 42.015 42.366 42.77 43.23 43.725 44.222 44.714 45.207 45.711 46.241 46.812 47.423 48.06 48.693 49.31 49.917 50.51
40.8 40.713 40.62 40.527 40.431 40.328 40.22 40.109 39.999 39.889 39.771 39.638 39.491 39.331 39.159 38.982 38.804 38.614 38.409 38.204 38.004 37.809 37.625 37.46 37.318 37.201 37.109 37.04 36.985 36.937 36.898 36.867 36.844 36.83 36.829 36.848 36.884 36.936 37.001 37.078 37.172 37.292 37.442 37.621 37.834 38.083 38.354 38.628 38.909 39.202 39.512 39.847 40.192 40.533 40.872 41.205 41.532 41.853 42.195 42.584 43.027 43.514 44.014 44.511 45.003 45.503 46.027 46.587 47.188 47.819 48.452 49.071 49.684
40.8 40.709 40.613 40.515 40.419 40.323 40.22 40.113 40.006 39.9 39.79 39.671 39.538 39.391 39.229 39.057 38.876 38.694 38.5 38.299 38.102 37.912 37.73 37.558 37.402 37.263 37.146 37.049 36.974 36.914 36.863 36.822 36.791 36.768 36.752 36.75 36.766 36.801 36.853 36.92 36.997 37.094 37.219 37.372 37.554 37.768 38.018 38.289 38.563 38.844 39.136 39.444 39.777 40.123 40.467 40.807 41.141 41.468 41.785 42.121 42.502 42.929 43.399 43.89 44.38 44.859 45.339 45.839 46.371 46.943 47.551 48.165 48.766
40.8 40.706 40.605 40.502 40.402 40.305 40.207 40.105 40 39.895 39.786 39.673 39.551 39.414 39.263 39.098 38.921 38.736 38.55 38.358 38.165 37.975 37.792 37.62 37.457 37.308 37.174 37.057 36.958 36.88 36.816 36.764 36.722 36.69 36.667 36.652 36.649 36.664 36.698 36.749 36.816 36.895 36.993 37.121 37.277 37.461 37.677 37.928 38.198 38.471 38.75 39.039 39.345 39.675 40.02 40.364 40.703 41.037 41.363 41.678 42.008 42.382 42.802 43.273 43.77 44.267 44.753 45.237 45.742 46.283 46.866 47.484 48.11
40.8 40.702 40.597 40.49 40.385 40.281 40.183 40.085 39.983 39.878 39.768 39.654 39.535 39.406 39.262 39.104 38.932 38.749 38.56 38.376 38.194 38.009 37.827 37.652 37.486 37.329 37.184 37.052 36.936 36.838 36.759 36.695 36.642 36.601 36.569 36.546 36.531 36.528 36.542 36.575 36.626 36.692 36.77 36.87 36.997 37.155 37.342 37.559 37.81 38.079 38.35 38.626 38.912 39.214 39.541 39.883 40.225 40.563 40.895 41.221 41.537 41.865 42.23 42.639 43.098 43.593 44.094 44.582 45.065 45.567 46.103 46.678 47.29
40.8 40.701 40.592 40.48 40.369 40.26 40.156 40.057 39.961 39.859 39.752 39.64 39.523 39.401 39.269 39.121 38.957 38.779 38.59 38.4 38.218 38.043 37.868 37.696 37.53 37.372 37.221 37.078 36.948 36.833 36.733 36.65 36.581 36.525 36.481 36.447 36.423 36.407 36.403 36.415 36.446 36.495 36.56 36.639 36.739 36.867 37.024 37.213 37.431 37.682 37.95 38.219 38.491 38.774 39.073 39.398 39.738 40.078 40.414 40.746 41.072 41.391 41.717 42.075 42.473 42.915 43.398 43.898 44.384 44.86 45.351 45.871 46.428
40.8 40.702 40.589 40.472 40.356 40.241 40.131 40.027 39.93 39.832 39.728 39.618 39.504 39.385 39.259 39.122 38.968 38.796 38.611 38.421 38.232 38.054 37.886 37.734 37.618 37.521 37.43 37.346 37.272 37.204 37.135 37.059 36.982 36.911 36.855 36.814 36.789 36.776 36.774 36.786 36.813 36.857 36.919 37.001 37.104 37.231 37.386 37.565 37.763 37.981 38.223 38.483 38.756 39.044 39.349 39.674 40.023 40.385 40.749 41.114 41.472 41.813 42.141 42.484 42.87 43.304 43.773 44.254 44.729 45.19 45.649 46.128 46.639
40.8 40.702 40.587 40.465 40.342 40.221 40.105 39.995 39.892 39.794 39.696 39.592 39.483 39.371 39.254 39.13 38.99 38.829 38.652 38.466 38.277 38.089 37.91 37.743 37.589 37.445 37.298 37.154 37.009 36.869 36.739 36.618 36.509 36.411 36.326 36.254 36.196 36.151 36.118 36.095 36.085 36.092 36.116 36.158 36.218 36.294 36.392 36.516 36.669 36.853 37.071 37.325 37.592 37.855 38.119 38.392 38.684 39.004 39.341 39.675 40.005 40.335 40.664 40.988 41.316 41.662 42.037 42.451 42.91 43.409 43.903 44.378 44.866
40.8 40.702 40.586 40.46 40.33 40.202 40.079 39.963 39.853 39.75 39.653 39.559 39.461 39.36 39.255 39.146 39.022 38.877 38.714 38.539 38.355 38.166 37.974 37.789 37.62 37.462 37.309 37.16 37.014 36.872 36.734 36.601 36.473 36.35 36.234 36.129 36.04 35.965 35.905 35.859 35.827 35.81 35.812 35.83 35.865 35.918 35.989 36.083 36.204 36.353 36.53 36.739 36.987 37.253 37.513 37.771 38.036 38.315 38.625 38.958 39.287 39.607 39.928 40.255 40.585 40.913 41.247 41.6 41.989 42.418 42.891 43.375 43.84
40.8 40.702 40.584 40.457 40.326 40.191 40.059 39.935 39.819 39.71 39.61 39.521 39.438 39.352 39.265 39.174 39.07 38.947 38.804 38.646 38.476 38.296 38.106 37.912 37.725 37.557 37.405 37.263 37.128 36.999 36.872 36.743 36.612 36.481 36.347 36.21 36.071 35.931 35.792 35.655 35.525 35.403 35.302 35.228 35.181 35.154 35.146 35.158 35.196 35.267 35.373 35.515 35.692 35.898 36.116 36.33 36.545 36.767 37.001 37.252 37.514 37.782 38.047 38.301 38.548 38.793 39.045 39.302 39.558 39.821 40.096 40.393 40.701
40.8 40.703 40.583 40.456 40.327 40.195 40.061 39.929 39.806 39.692 39.589 39.498 39.422 39.353 39.284 39.213 39.135 39.042 38.925 38.789 38.639 38.477 38.309 38.14 37.973 37.817 37.683 37.577 37.487 37.404 37.324 37.25 37.18 37.115 37.039 36.944 36.836 36.728 36.632 36.547 36.477 36.422 36.385 36.368 36.367 36.381 36.408 36.449 36.504 36.577 36.678 36.805 36.965 37.161 37.383 37.623 37.875 38.143 38.429 38.74 39.082 39.437 39.79 40.146 40.502 40.854 41.201 41.549 41.91 42.296 42.714 43.169 43.654
40.8 40.725 40.643 40.556 40.467 40.368 40.259 40.147 40.031 39.912 39.789 39.662 39.534 39.408 39.279 39.142 38.996 38.841 38.673 38.49 38.299 38.108 37.919 37.733 37.557 37.397 37.261 37.171 37.086 37.007 36.933 36.864 36.801 36.744 36.694 36.65 36.613 36.581 36.548 36.523 36.51 36.512 36.523 36.54 36.566 36.601 36.65 36.716 36.799 36.904 37.035 37.198 37.386 37.594 37.823 38.072 38.336 38.606 38.887 39.184 39.5 39.84 40.195 40.552 40.911 41.265 41.602 41.922 42.251 42.619 43.034 43.487 43.962
40.8 40.736 40.661 40.575 40.486 40.396 40.306 40.219 40.122 40.015 39.901 39.778 39.648 39.514 39.378 39.238 39.088 38.927 38.754 38.567 38.367 38.164 37.966 37.774 37.595 37.436 37.299 37.187 37.095 37.008 36.924 36.844 36.768 36.697 36.635 36.582 36.538 36.504 36.48 36.462 36.455 36.454 36.461 36.471 36.482 36.501 36.532 36.579 36.643 36.726 36.832 36.967 37.133 37.325 37.539 37.774 38.03 38.297 38.566 38.844 39.136 39.447 39.782 40.131 40.484 40.839 41.189 41.524 41.839 42.16 42.519 42.925 43.374
40.8 40.747 40.683 40.606 40.519 40.428 40.337 40.247 40.162 40.082 40.005 39.908 39.793 39.664 39.524 39.38 39.229 39.065 38.888 38.698 38.49 38.272 38.06 37.864 37.685 37.527 37.391 37.278 37.175 37.075 36.978 36.883 36.791 36.702 36.622 36.554 36.5 36.462 36.44 36.436 36.446 36.465 36.493 36.531 36.576 36.63 36.694 36.769 36.856 36.954 37.064 37.186 37.325 37.484 37.66 37.847 38.041 38.237 38.433 38.63 38.826 39.019 39.204 39.376 39.532 39.673 39.806 39.938 40.076 40.226 40.372 40.499 40.61
40.8 40.757 40.705 40.641 40.563 40.475 40.385 40.294 40.205 40.12 40.041 39.967 39.891 39.808 39.701 39.574 39.432 39.275 39.102 38.913 38.712 38.5 38.286 38.089 37.912 37.755 37.61 37.472 37.343 37.219 37.099 36.983 36.872 36.765 36.663 36.574 36.503 36.45 36.416 36.407 36.422 36.453 36.494 36.543 36.601 36.667 36.742 36.828 36.925 37.036 37.159 37.294 37.44 37.599 37.774 37.962 38.16 38.363 38.569 38.774 38.978 39.177 39.369 39.548 39.712 39.858 39.993 40.125 40.257 40.393 40.537 40.675 40.796
40.8 40.768 40.726 40.675 40.611 40.534 40.447 40.357 40.268 40.18 40.096 40.019 39.945 39.869 39.787 39.698 39.603 39.497 39.366 39.215 39.048 38.867 38.675 38.477 38.291 38.119 37.954 37.797 37.646 37.503 37.366 37.232 37.104 36.981 36.864 36.754 36.656 36.577 36.518 36.472 36.433 36.399 36.364 36.329 36.295 36.263 36.232 36.2 36.178 36.176 36.196 36.236 36.297 36.38 36.486 36.616 36.772 36.96 37.177 37.424 37.68 37.931 38.182 38.437 38.705 38.994 39.298 39.61 39.929 40.256 40.58 40.894 41.205
40.8 40.778 40.747 40.707 40.656 40.594 40.519 40.434 40.347 40.26 40.174 40.092 40.015 39.941 39.866 39.784 39.697 39.603 39.504 39.38 39.234 39.07 38.892 38.703 38.507 38.323 38.154 37.991 37.835 37.687 37.546 37.41 37.278 37.151 37.03 36.914 36.804 36.708 36.631 36.575 36.542 36.534 36.549 36.581 36.62 36.668 36.725 36.791 36.867 36.953 37.054 37.168 37.294 37.432 37.58 37.741 37.916 38.103 38.297 38.496 38.698 38.9 39.099 39.294 39.481 39.655 39.812 39.953 40.084 40.214 40.346 40.481 40.623
40.8 40.784 40.764 40.735 40.696 40.648 40.589 40.518 40.437 40.355 40.271 40.188 40.107 40.031 39.958 39.884 39.805 39.721 39.631 39.536 39.421 39.281 39.123 38.95 38.765 38.572 38.39 38.221 38.062 37.909 37.764 37.626 37.493 37.363 37.237 37.117 37.002 36.894 36.797 36.72 36.663 36.627 36.613 36.622 36.647 36.682 36.726 36.778 36.838 36.906 36.986 37.079 37.185 37.303 37.432 37.571 37.723 37.89 38.069 38.258 38.451 38.645 38.839 39.032 39.221 39.404 39.574 39.729 39.867 39.996 40.122 40.25 40.383
40.8 40.785 40.77 40.751 40.723 40.687 40.641 40.585 40.517 40.441 40.362 40.281 40.201 40.122 40.046 39.974 39.901 39.824 39.742 39.656 39.565 39.454 39.319 39.166 38.997 38.816 38.626 38.443 38.275 38.119 37.969 37.827 37.692 37.561 37.434 37.31 37.191 37.078 36.97 36.873 36.795 36.736 36.696 36.677 36.679 36.698 36.726 36.764 36.811 36.865 36.928 37.001 37.088 37.187 37.298 37.42 37.551 37.695 37.856 38.03 38.213 38.4 38.587 38.775 38.963 39.149 39.328 39.497 39.651 39.789 39.917 40.04 40.166
40.8 40.785 40.771 40.757 40.74 40.714 40.68 40.637 40.584 40.52 40.448 40.372 40.295 40.217 40.14 40.064 39.992 39.92 39.846 39.768 39.685 39.599 39.492 39.361 39.211 39.047 38.869 38.682 38.498 38.33 38.175 38.03 37.891 37.759 37.632 37.507 37.386 37.268 37.156 37.049 36.953 36.874 36.812 36.768 36.743 36.739 36.749 36.769 36.798 36.837 36.884 36.939 37.005 37.084 37.176 37.28 37.394 37.517 37.654 37.809 37.976 38.153 38.333 38.514 38.696 38.881 39.064 39.242 39.41 39.564 39.703 39.831 39.954
40.8 40.786 40.772 40.758 40.746 40.73 40.706 40.674 40.634 40.585 40.525 40.457 40.386 40.312 40.237 40.161 40.086 40.014 39.943 39.872 39.796 39.718 39.635 39.533 39.407 39.263 39.103 38.93 38.748 38.566 38.395 38.241 38.1 37.964 37.836 37.712 37.59 37.47 37.354 37.243 37.137 37.041 36.961 36.896 36.847 36.816 36.804 36.806 36.817 36.837 36.866 36.903 36.949 37.004 37.074 37.156 37.251 37.357 37.472 37.602 37.749 37.911 38.082 38.257 38.434 38.613 38.794 38.975 39.152 39.321 39.477 39.617 39.747
40.8 40.787 40.773 40.759 40.747 40.736 40.722 40.7 40.671 40.634 40.588 40.533 40.47 40.402 40.332 40.259 40.185 40.11 40.038 39.969 39.9 39.828 39.753 39.676 39.579 39.458 39.319 39.165 38.999 38.821 38.643 38.472 38.314 38.173 38.041 37.916 37.795 37.676 37.559 37.444 37.334 37.228 37.132 37.05 36.982 36.929 36.892 36.871 36.864 36.866 36.877 36.896 36.924 36.959 37.004 37.063 37.135 37.221 37.317 37.425 37.547 37.687 37.842 38.008 38.179 38.353 38.527 38.705 38.885 39.062 39.231 39.389 39.532
40.8 40.787 40.774 40.76 40.747 40.736 40.727 40.715 40.696 40.669 40.635 40.594 40.543 40.485 40.422 40.355 40.284 40.211 40.137 40.065 39.997 39.93 39.862 39.791 39.718 39.627 39.512 39.379 39.233 39.073 38.902 38.728 38.558 38.398 38.253 38.123 38.002 37.884 37.767 37.652 37.539 37.43 37.324 37.227 37.144 37.073 37.015 36.971 36.942 36.925 36.918 36.919 36.928 36.946 36.971 37.006 37.054 37.116 37.192 37.279 37.378 37.492 37.626 37.774 37.933 38.1 38.27 38.442 38.616 38.794 38.97 39.14 39.3
40.8 40.799 40.823 40.858 40.897 40.937 40.977 41.015 41.045 41.06 41.061 41.047 41.023 40.992 40.955 40.912 40.861 40.803 40.737 40.664 40.591 40.519 40.45 40.392 40.35 40.325 40.306 40.278 40.234 40.174 40.096 40.002 39.897 39.791 39.696 39.61 39.541 39.49 39.451 39.417 39.377 39.327 39.274 39.226 39.183 39.144 39.111 39.081 39.055 39.033 39.005 38.964 38.91 38.846 38.774 38.696 38.627 38.579 38.548 38.531 38.524 38.526 38.533 38.545 38.562 38.583 38.619 38.678 38.765 38.879 39.016 39.175 39.357
40.8 40.782 40.801 40.844 40.894 40.945 40.997 41.05 41.1 41.132 41.142 41.134 41.11 41.073 41.029 40.981 40.932 40.879 40.817 40.738 40.651 40.557 40.466 40.374 40.277 40.177 40.078 39.981 39.886 39.797 39.72 39.661 39.622 39.59 39.555 39.517 39.475 39.43 39.384 39.344 39.314 39.293 39.28 39.275 39.277 39.278 39.27 39.252 39.224 39.182 39.126 39.058 38.984 38.906 38.825 38.74 38.654 38.575 38.51 38.461 38.428 38.412 38.416 38.438 38.439 38.446 38.475 38.483 38.505 38.541 38.592 38.657 38.735
40.8 40.766 40.766 40.803 40.861 40.922 40.984 41.048 41.114 41.173 41.206 41.211 41.194 41.162 41.117 41.06 40.998 40.931 40.859 40.775 40.679 40.563 40.448 40.344 40.245 40.145 40.036 39.917 39.803 39.71 39.637 39.583 39.545 39.525 39.509 39.485 39.453 39.418 39.384 39.353 39.329 39.313 39.304 39.299 39.3 39.306 39.31 39.304 39.288 39.26 39.218 39.162 39.094 39.022 38.945 38.866 38.786 38.705 38.631 38.571 38.528 38.501 38.495 38.514 38.541 38.566 38.586 38.604 38.619 38.632 38.649 38.676 38.706
40.8 40.749 40.729 40.747 40.799 40.868 40.938 41.011 41.087 41.161 41.224 41.259 41.264 41.245 41.209 41.159 41.095 41.021 40.943 40.858 40.76 40.657 40.557 40.46 40.366 40.272 40.174 40.07 39.96 39.856 39.773 39.711 39.668 39.638 39.614 39.588 39.553 39.514 39.474 39.437 39.404 39.379 39.361 39.35 39.345 39.345 39.349 39.351 39.342 39.321 39.288 39.241 39.179 39.108 39.033 38.957 38.879 38.8 38.719 38.643 38.58 38.53 38.496 38.484 38.496 38.519 38.54 38.557 38.572 38.584 38.593 38.606 38.632
40.8 40.732 40.692 40.688 40.72 40.784 40.861 40.94 41.023 41.107 41.185 41.251 41.29 41.299 41.288 41.259 41.207 41.133 41.047 40.959 40.874 40.795 40.72 40.646 40.568 40.484 40.395 40.298 40.192 40.08 39.975 39.89 39.822 39.772 39.737 39.719 39.707 39.687 39.66 39.631 39.601 39.574 39.552 39.534 39.52 39.508 39.499 39.492 39.483 39.468 39.445 39.414 39.373 39.32 39.256 39.184 39.106 39.024 38.938 38.851 38.771 38.707 38.658 38.625 38.612 38.62 38.641 38.661 38.68 38.698 38.715 38.732 38.751
40.8 40.715 40.654 40.628 40.638 40.683 40.756 40.84 40.928 41.016 41.102 41.184 41.253 41.298 41.321 41.327 41.31 41.262 41.18 41.089 41.001 40.917 40.835 40.754 40.675 40.592 40.507 40.42 40.332 40.239 40.135 40.035 39.957 39.899 39.853 39.816 39.783 39.747 39.704 39.659 39.614 39.573 39.536 39.505 39.479 39.459 39.444 39.436 39.434 39.431 39.417 39.392 39.355 39.304 39.239 39.165 39.088 39.009 38.929 38.845 38.76 38.68 38.611 38.554 38.513 38.492 38.495 38.51 38.524 38.537 38.548 38.557 38.565
40.8 40.706 40.618 40.547 40.533 40.565 40.632 40.719 40.807 40.896 40.987 41.083 41.178 41.263 41.329 41.378 41.407 41.408 41.369 41.293 41.204 41.118 41.032 40.945 40.859 40.775 40.695 40.626 40.563 40.499 40.428 40.343 40.258 40.189 40.128 40.07 40.011 39.95 39.884 39.814 39.743 39.675 39.612 39.555 39.507 39.47 39.443 39.423 39.412 39.41 39.406 39.392 39.367 39.328 39.276 39.208 39.131 39.053 38.971 38.887 38.801 38.713 38.63 38.557 38.496 38.45 38.422 38.417 38.425 38.435 38.445 38.454 38.463
40.8 40.706 40.612 40.523 40.484 40.49 40.536 40.609 40.695 40.782 40.87 40.963 41.061 41.158 41.254 41.341 41.412 41.461 41.476 41.445 41.38 41.3 41.218 41.133 41.045 40.959 40.879 40.813 40.761 40.714 40.664 40.604 40.532 40.461 40.402 40.346 40.288 40.223 40.144 40.054 39.962 39.87 39.782 39.7 39.628 39.568 39.523 39.489 39.466 39.453 39.45 39.448 39.433 39.406 39.364 39.308 39.235 39.151 39.064 38.973 38.879 38.782 38.685 38.591 38.505 38.428 38.363 38.311 38.278 38.265 38.264 38.268 38.273
40.8 40.707 40.612 40.514 40.448 40.427 40.448 40.501 40.579 40.667 40.753 40.84 40.933 41.03 41.132 41.239 41.343 41.43 41.5 41.538 41.53 41.483 41.414 41.341 41.263 41.185 41.114 41.061 41.035 41.014 40.988 40.953 40.911 40.864 40.822 40.793 40.767 40.733 40.678 40.594 40.492 40.389 40.289 40.197 40.113 40.038 39.975 39.923 39.882 39.852 39.832 39.826 39.819 39.8 39.766 39.714 39.643 39.553 39.451 39.343 39.23 39.11 38.983 38.85 38.718 38.597 38.489 38.395 38.318 38.259 38.221 38.196 38.182
40.8 40.707 40.613 40.513 40.429 40.38 40.371 40.402 40.458 40.538 40.625 40.708 40.794 40.885 40.984 41.091 41.209 41.326 41.43 41.511 41.551 41.546 41.505 41.443 41.374 41.301 41.228 41.16 41.116 41.1 41.082 41.058 41.027 40.99 40.95 40.923 40.911 40.901 40.878 40.83 40.75 40.649 40.549 40.454 40.365 40.284 40.212 40.149 40.095 40.05 40.013 39.986 39.967 39.949 39.921 39.881 39.828 39.761 39.676 39.576 39.467 39.352 39.232 39.106 38.975 38.847 38.731 38.627 38.538 38.467 38.415 38.383 38.363
40.8 40.707 40.614 40.513 40.423 40.357 40.318 40.321 40.359 40.423 40.501 40.578 40.656 40.737 40.826 40.926 41.038 41.163 41.291 41.402 41.48 41.516 41.511 41.472 41.412 41.343 41.269 41.194 41.125 41.07 41.053 41.036 41.012 40.98 40.942 40.9 40.868 40.852 40.838 40.81 40.76 40.676 40.573 40.471 40.374 40.284 40.201 40.128 40.065 40.012 39.969 39.936 39.912 39.898 39.885 39.86 39.822 39.77 39.701 39.614 39.512 39.405 39.292 39.173 39.049 38.921 38.794 38.679 38.576 38.487 38.416 38.364 38.332
40.8 40.707 40.615 40.512 40.416 40.346 40.29 40.257 40.281 40.33 40.394 40.459 40.525 40.595 40.673 40.767 40.876 41.001 41.143 41.287 41.404 41.485 41.524 41.525 41.494 41.44 41.373 41.301 41.227 41.16 41.108 41.099 41.086 41.064 41.035 41.001 40.965 40.947 40.956 40.974 40.979 40.951 40.876 40.775 40.675 40.578 40.486 40.401 40.323 40.253 40.188 40.129 40.076 40.032 39.995 39.961 39.922 39.875 39.818 39.748 39.664 39.564 39.455 39.338 39.217 39.09 38.958 38.829 38.714 38.614 38.532 38.469 38.426
40.8 40.726 40.636 40.542 40.437 40.34 40.27 40.22 40.201 40.201 40.195 40.207 40.23 40.261 40.305 40.366 40.437 40.518 40.614 40.728 40.863 41.016 41.184 41.365 41.556 41.754 41.96 42.176 42.401 42.632 42.873 43.131 43.408 43.706 44.026 44.368 44.73 45.111 45.505 45.903 46.297 46.689 47.104 47.553 48.015 48.469 48.923 49.383 49.849 50.327 50.807 51.268 51.717 52.156 52.585 53.01 53.431 53.836 54.215 54.565 54.888 55.187 55.461 55.712 55.933 56.122 56.28 56.409 56.516 56.608 56.687 56.753 56.806
40.8 40.76 40.69 40.601 40.51 40.405 40.321 40.263 40.221 40.194 40.228 40.277 40.337 40.404 40.477 40.571 40.688 40.822 40.967 41.125 41.302 41.489 41.672 41.846 42.004 42.15 42.297 42.451 42.609 42.769 42.934 43.11 43.295 43.49 43.694 43.909 44.136 44.387 44.679 45.011 45.368 45.736 46.111 46.497 46.895 47.288 47.668 48.043 48.414 48.776 49.134 49.499 49.875 50.252 50.62 50.968 51.293 51.609 51.929 52.249 52.566 52.891 53.229 53.57 53.905 54.233 54.549 54.853 55.145 55.425 55.689 55.935 56.161
40.8 40.795 40.759 40.693 40.608 40.517 40.423 40.353 40.308 40.274 40.28 40.297 40.318 40.355 40.405 40.471 40.556 40.659 40.768 40.884 41.013 41.167 41.338 41.509 41.683 41.861 42.046 42.234 42.427 42.626 42.831 43.038 43.25 43.476 43.717 43.975 44.256 44.571 44.924 45.309 45.713 46.123 46.535 46.939 47.348 47.796 48.284 48.77 49.24 49.705 50.176 50.67 51.177 51.673 52.157 52.631 53.096 53.568 54.048 54.514 54.956 55.366 55.747 56.109 56.458 56.789 57.099 57.388 57.654 57.895 58.116 58.324 58.524
40.8 40.828 40.828 40.798 40.737 40.659 40.574 40.494 40.437 40.402 40.381 40.377 40.412 40.455 40.49 40.541 40.588 40.649 40.728 40.828 40.945 41.081 41.242 41.413 41.577 41.73 41.858 41.962 42.052 42.131 42.211 42.313 42.433 42.559 42.697 42.861 43.054 43.26 43.474 43.702 43.945 44.188 44.427 44.662 44.887 45.098 45.295 45.475 45.637 45.765 45.846 45.889 45.928 45.972 46.023 46.081 46.143 46.21 46.278 46.351 46.431 46.524 46.636 46.772 46.937 47.129 47.333 47.556 47.81 48.084 48.356 48.598 48.775
40.8 40.862 40.895 40.901 40.878 40.826 40.757 40.683 40.616 40.571 40.545 40.533 40.541 40.57 40.607 40.651 40.696 40.745 40.806 40.884 40.981 41.094 41.225 41.379 41.538 41.671 41.77 41.831 41.857 41.851 41.816 41.759 41.687 41.606 41.532 41.485 41.481 41.46 41.44 41.418 41.396 41.38 41.38 41.393 41.404 41.403 41.38 41.325 41.249 41.173 41.096 41.021 40.949 40.882 40.816 40.75 40.683 40.617 40.552 40.491 40.433 40.378 40.323 40.267 40.209 40.147 40.073 39.979 39.866 39.735 39.588 39.43 39.275
40.8 40.896 40.962 41.002 41.016 41.002 40.96 40.902 40.841 40.787 40.752 40.735 40.73 40.743 40.772 40.807 40.847 40.891 40.94 41.007 41.091 41.193 41.312 41.447 41.603 41.765 41.911 42.03 42.119 42.178 42.211 42.214 42.186 42.134 42.068 41.998 41.939 41.932 41.953 41.989 42.041 42.113 42.212 42.338 42.474 42.606 42.723 42.815 42.874 42.901 42.907 42.894 42.866 42.824 42.769 42.706 42.639 42.563 42.478 42.391 42.307 42.233 42.178 42.141 42.119 42.109 42.107 42.084 42.013 41.902 41.761 41.605 41.438
