Latitude_back72hr_30m[][0] Latitude_back72hr_30m[][1] Latitude_back72hr_30m[][2] Latitude_back72hr_30m[][3] Latitude_back72hr_30m[][4] Latitude_back72hr_30m[][5] Latitude_back72hr_30m[][6] Latitude_back72hr_30m[][7] Latitude_back72hr_30m[][8] Latitude_back72hr_30m[][9] Latitude_back72hr_30m[][10] Latitude_back72hr_30m[][11] Latitude_back72hr_30m[][12] Latitude_back72hr_30m[][13] Latitude_back72hr_30m[][14] Latitude_back72hr_30m[][15] Latitude_back72hr_30m[][16] Latitude_back72hr_30m[][17] Latitude_back72hr_30m[][18] Latitude_back72hr_30m[][19] Latitude_back72hr_30m[][20] Latitude_back72hr_30m[][21] Latitude_back72hr_30m[][22] Latitude_back72hr_30m[][23] Latitude_back72hr_30m[][24] Latitude_back72hr_30m[][25] Latitude_back72hr_30m[][26] Latitude_back72hr_30m[][27] Latitude_back72hr_30m[][28] Latitude_back72hr_30m[][29] Latitude_back72hr_30m[][30] Latitude_back72hr_30m[][31] Latitude_back72hr_30m[][32] Latitude_back72hr_30m[][33] Latitude_back72hr_30m[][34] Latitude_back72hr_30m[][35] Latitude_back72hr_30m[][36] Latitude_back72hr_30m[][37] Latitude_back72hr_30m[][38] Latitude_back72hr_30m[][39] Latitude_back72hr_30m[][40] Latitude_back72hr_30m[][41] Latitude_back72hr_30m[][42] Latitude_back72hr_30m[][43] Latitude_back72hr_30m[][44] Latitude_back72hr_30m[][45] Latitude_back72hr_30m[][46] Latitude_back72hr_30m[][47] Latitude_back72hr_30m[][48] Latitude_back72hr_30m[][49] Latitude_back72hr_30m[][50] Latitude_back72hr_30m[][51] Latitude_back72hr_30m[][52] Latitude_back72hr_30m[][53] Latitude_back72hr_30m[][54] Latitude_back72hr_30m[][55] Latitude_back72hr_30m[][56] Latitude_back72hr_30m[][57] Latitude_back72hr_30m[][58] Latitude_back72hr_30m[][59] Latitude_back72hr_30m[][60] Latitude_back72hr_30m[][61] Latitude_back72hr_30m[][62] Latitude_back72hr_30m[][63] Latitude_back72hr_30m[][64] Latitude_back72hr_30m[][65] Latitude_back72hr_30m[][66] Latitude_back72hr_30m[][67] Latitude_back72hr_30m[][68] Latitude_back72hr_30m[][69] Latitude_back72hr_30m[][70] Latitude_back72hr_30m[][71] Latitude_back72hr_30m[][72]
40.8 40.746 40.687 40.623 40.554 40.48 40.381 40.286 40.207 40.135 40.081 40.034 40.003 39.99 39.995 40.018 40.059 40.092 40.094 40.065 40.005 39.914 39.793 39.661 39.534 39.402 39.261 39.106 38.936 38.763 38.604 38.46 38.33 38.212 38.105 38.002 37.897 37.792 37.688 37.586 37.485 37.376 37.249 37.103 36.941 36.764 36.574 36.381 36.199 36.024 35.855 35.69 35.53 35.38 35.242 35.117 35.003 34.897 34.798 34.7 34.596 34.487 34.372 34.248 34.117 33.973 33.817 33.648 33.468 33.278 33.077 32.875 32.681
40.8 40.751 40.697 40.637 40.573 40.504 40.432 40.335 40.244 40.168 40.101 40.048 40.001 39.971 39.96 39.969 39.998 40.043 40.079 40.083 40.055 39.996 39.908 39.793 39.668 39.544 39.414 39.273 39.116 38.943 38.769 38.609 38.464 38.333 38.214 38.106 38.001 37.894 37.787 37.679 37.572 37.465 37.349 37.214 37.062 36.893 36.71 36.513 36.315 36.127 35.947 35.773 35.602 35.439 35.288 35.149 35.022 34.905 34.795 34.691 34.586 34.475 34.357 34.231 34.097 33.957 33.807 33.645 33.472 33.288 33.094 32.889 32.683
40.8 40.756 40.706 40.651 40.592 40.529 40.462 40.392 40.298 40.211 40.14 40.074 40.019 39.971 39.943 39.937 39.955 39.996 40.053 40.097 40.106 40.081 40.026 39.942 39.832 39.714 39.594 39.466 39.325 39.168 38.994 38.819 38.66 38.516 38.387 38.273 38.169 38.068 37.965 37.859 37.751 37.64 37.526 37.4 37.255 37.092 36.912 36.72 36.514 36.307 36.11 35.92 35.737 35.558 35.389 35.232 35.086 34.95 34.823 34.701 34.583 34.462 34.333 34.197 34.053 33.904 33.752 33.591 33.417 33.231 33.034 32.828 32.611
40.8 40.756 40.712 40.662 40.608 40.551 40.494 40.434 40.373 40.291 40.216 40.156 40.093 40.035 39.987 39.963 39.962 39.986 40.034 40.093 40.134 40.139 40.108 40.044 39.948 39.827 39.7 39.571 39.434 39.283 39.116 38.934 38.756 38.592 38.442 38.304 38.177 38.059 37.945 37.827 37.708 37.588 37.467 37.344 37.212 37.06 36.893 36.713 36.52 36.313 36.104 35.905 35.713 35.528 35.354 35.192 35.044 34.908 34.783 34.669 34.561 34.458 34.351 34.233 34.105 33.967 33.823 33.673 33.514 33.343 33.16 32.966 32.761
40.8 40.752 40.709 40.665 40.616 40.564 40.51 40.456 40.402 40.347 40.272 40.204 40.147 40.084 40.026 39.979 39.956 39.958 39.984 40.03 40.082 40.116 40.114 40.077 40.005 39.904 39.781 39.651 39.518 39.375 39.218 39.046 38.864 38.685 38.519 38.367 38.227 38.097 37.976 37.858 37.737 37.613 37.488 37.361 37.231 37.09 36.933 36.764 36.583 36.388 36.178 35.964 35.758 35.559 35.37 35.195 35.033 34.883 34.745 34.617 34.496 34.381 34.267 34.146 34.014 33.872 33.724 33.571 33.412 33.244 33.063 32.872 32.671
40.8 40.748 40.699 40.657 40.614 40.568 40.518 40.468 40.419 40.37 40.323 40.254 40.19 40.129 40.067 40.006 39.96 39.938 39.942 39.97 40.01 40.054 40.082 40.073 40.03 39.952 39.848 39.723 39.59 39.453 39.305 39.143 38.969 38.786 38.605 38.439 38.285 38.143 38.012 37.889 37.768 37.645 37.519 37.39 37.259 37.124 36.98 36.823 36.655 36.474 36.278 36.065 35.848 35.637 35.435 35.247 35.072 34.91 34.76 34.621 34.492 34.369 34.251 34.132 34.005 33.866 33.721 33.569 33.413 33.25 33.077 32.893 32.699
40.8 40.743 40.69 40.643 40.601 40.561 40.518 40.472 40.426 40.383 40.341 40.3 40.237 40.176 40.112 40.05 39.991 39.946 39.927 39.932 39.958 39.992 40.031 40.054 40.04 39.989 39.907 39.8 39.675 39.54 39.399 39.246 39.081 38.905 38.72 38.539 38.37 38.214 38.069 37.934 37.807 37.683 37.555 37.424 37.289 37.151 37.011 36.866 36.711 36.542 36.359 36.158 35.939 35.714 35.497 35.291 35.101 34.925 34.762 34.612 34.473 34.343 34.22 34.1 33.98 33.852 33.714 33.568 33.417 33.259 33.094 32.918 32.732
40.8 40.739 40.681 40.629 40.582 40.543 40.507 40.467 40.426 40.386 40.349 40.313 40.28 40.219 40.157 40.094 40.032 39.974 39.932 39.915 39.92 39.938 39.962 39.993 40.007 39.984 39.925 39.837 39.725 39.595 39.455 39.308 39.151 38.982 38.804 38.616 38.431 38.259 38.099 37.95 37.81 37.68 37.551 37.419 37.283 37.143 37.003 36.865 36.723 36.569 36.4 36.214 36.011 35.787 35.556 35.336 35.133 34.945 34.771 34.612 34.466 34.334 34.214 34.102 33.997 33.893 33.783 33.659 33.525 33.382 33.231 33.07 32.899
40.8 40.734 40.672 40.615 40.563 40.519 40.483 40.452 40.418 40.383 40.349 40.318 40.29 40.264 40.205 40.142 40.079 40.019 39.963 39.922 39.906 39.907 39.916 39.931 39.954 39.959 39.927 39.86 39.765 39.647 39.511 39.365 39.21 39.046 38.873 38.69 38.499 38.311 38.134 37.969 37.815 37.67 37.535 37.402 37.264 37.124 36.984 36.846 36.711 36.572 36.418 36.248 36.061 35.854 35.627 35.396 35.179 34.978 34.792 34.62 34.461 34.315 34.181 34.057 33.941 33.829 33.721 33.607 33.481 33.345 33.201 33.049 32.887
40.8 40.73 40.671 40.625 40.591 40.57 40.562 40.566 40.574 40.575 40.565 40.545 40.518 40.486 40.452 40.402 40.347 40.285 40.215 40.132 40.052 39.99 39.944 39.913 39.895 39.881 39.849 39.785 39.695 39.588 39.469 39.335 39.186 39.024 38.849 38.663 38.47 38.278 38.098 37.933 37.781 37.642 37.514 37.395 37.28 37.161 37.038 36.91 36.776 36.636 36.48 36.298 36.091 35.861 35.605 35.325 35.05 34.8 34.574 34.368 34.182 34.012 33.855 33.708 33.572 33.45 33.339 33.24 33.137 33.019 32.888 32.744 32.588
