Longitude_back72hr_30m[][0] Longitude_back72hr_30m[][1] Longitude_back72hr_30m[][2] Longitude_back72hr_30m[][3] Longitude_back72hr_30m[][4] Longitude_back72hr_30m[][5] Longitude_back72hr_30m[][6] Longitude_back72hr_30m[][7] Longitude_back72hr_30m[][8] Longitude_back72hr_30m[][9] Longitude_back72hr_30m[][10] Longitude_back72hr_30m[][11] Longitude_back72hr_30m[][12] Longitude_back72hr_30m[][13] Longitude_back72hr_30m[][14] Longitude_back72hr_30m[][15] Longitude_back72hr_30m[][16] Longitude_back72hr_30m[][17] Longitude_back72hr_30m[][18] Longitude_back72hr_30m[][19] Longitude_back72hr_30m[][20] Longitude_back72hr_30m[][21] Longitude_back72hr_30m[][22] Longitude_back72hr_30m[][23] Longitude_back72hr_30m[][24] Longitude_back72hr_30m[][25] Longitude_back72hr_30m[][26] Longitude_back72hr_30m[][27] Longitude_back72hr_30m[][28] Longitude_back72hr_30m[][29] Longitude_back72hr_30m[][30] Longitude_back72hr_30m[][31] Longitude_back72hr_30m[][32] Longitude_back72hr_30m[][33] Longitude_back72hr_30m[][34] Longitude_back72hr_30m[][35] Longitude_back72hr_30m[][36] Longitude_back72hr_30m[][37] Longitude_back72hr_30m[][38] Longitude_back72hr_30m[][39] Longitude_back72hr_30m[][40] Longitude_back72hr_30m[][41] Longitude_back72hr_30m[][42] Longitude_back72hr_30m[][43] Longitude_back72hr_30m[][44] Longitude_back72hr_30m[][45] Longitude_back72hr_30m[][46] Longitude_back72hr_30m[][47] Longitude_back72hr_30m[][48] Longitude_back72hr_30m[][49] Longitude_back72hr_30m[][50] Longitude_back72hr_30m[][51] Longitude_back72hr_30m[][52] Longitude_back72hr_30m[][53] Longitude_back72hr_30m[][54] Longitude_back72hr_30m[][55] Longitude_back72hr_30m[][56] Longitude_back72hr_30m[][57] Longitude_back72hr_30m[][58] Longitude_back72hr_30m[][59] Longitude_back72hr_30m[][60] Longitude_back72hr_30m[][61] Longitude_back72hr_30m[][62] Longitude_back72hr_30m[][63] Longitude_back72hr_30m[][64] Longitude_back72hr_30m[][65] Longitude_back72hr_30m[][66] Longitude_back72hr_30m[][67] Longitude_back72hr_30m[][68] Longitude_back72hr_30m[][69] Longitude_back72hr_30m[][70] Longitude_back72hr_30m[][71] Longitude_back72hr_30m[][72]
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
-74 -74.051 -74.099 -74.15 -74.202 -74.254 -74.3 -74.339 -74.371 -74.399 -74.424 -74.447 -74.47 -74.488 -74.497 -74.506 -74.516 -74.517 -74.508 -74.506 -74.522 -74.558 -74.605 -74.656 -74.711 -74.782 -74.871 -74.971 -75.07 -75.172 -75.277 -75.385 -75.506 -75.656 -75.829 -76.041 -76.293 -76.569 -76.874 -77.207 -77.577 -77.996 -78.454 -78.924 -79.396 -79.87 -80.324 -80.742 -81.13 -81.502 -81.866 -82.228 -82.592 -82.956 -83.318 -83.668 -83.983 -84.246 -84.444 -84.563 -84.584 -84.52 -84.393 -84.19 -83.903 -83.544 -83.128 -82.66 -82.157 -81.63 -81.088 -80.534 -79.975
-74 -74.049 -74.101 -74.156 -74.213 -74.269 -74.32 -74.361 -74.395 -74.425 -74.451 -74.476 -74.5 -74.524 -74.543 -74.556 -74.559 -74.549 -74.53 -74.504 -74.484 -74.485 -74.509 -74.552 -74.601 -74.652 -74.718 -74.804 -74.902 -75.001 -75.103 -75.21 -75.319 -75.44 -75.587 -75.761 -75.965 -76.22 -76.498 -76.804 -77.138 -77.508 -77.927 -78.387 -78.859 -79.333 -79.809 -80.268 -80.692 -81.086 -81.463 -81.833 -82.199 -82.568 -82.934 -83.295 -83.642 -83.953 -84.21 -84.402 -84.516 -84.536 -84.474 -84.35 -84.149 -83.864 -83.509 -83.097 -82.631 -82.127 -81.594 -81.042 -80.476
-74 -74.043 -74.092 -74.151 -74.214 -74.275 -74.33 -74.375 -74.412 -74.443 -74.47 -74.495 -74.52 -74.544 -74.566 -74.577 -74.57 -74.548 -74.513 -74.466 -74.433 -74.399 -74.396 -74.426 -74.491 -74.585 -74.679 -74.76 -74.857 -74.965 -75.072 -75.18 -75.291 -75.404 -75.533 -75.691 -75.869 -76.096 -76.351 -76.631 -76.94 -77.278 -77.655 -78.079 -78.537 -79.007 -79.48 -79.954 -80.403 -80.816 -81.201 -81.569 -81.928 -82.285 -82.645 -83.002 -83.358 -83.699 -84.002 -84.252 -84.436 -84.537 -84.536 -84.45 -84.305 -84.083 -83.777 -83.403 -82.971 -82.492 -81.986 -81.461 -80.922
-74 -74.036 -74.078 -74.135 -74.203 -74.27 -74.329 -74.379 -74.42 -74.453 -74.481 -74.507 -74.531 -74.552 -74.565 -74.568 -74.557 -74.53 -74.488 -74.433 -74.365 -74.285 -74.289 -74.277 -74.309 -74.391 -74.522 -74.701 -74.923 -75.179 -75.457 -75.748 -76.044 -76.335 -76.616 -76.893 -77.174 -77.465 -77.778 -78.119 -78.484 -78.869 -79.274 -79.702 -80.152 -80.617 -81.065 -81.475 -81.856 -82.217 -82.558 -82.874 -83.179 -83.49 -83.807 -84.133 -84.461 -84.777 -85.058 -85.291 -85.473 -85.602 -85.679 -85.713 -85.7 -85.633 -85.525 -85.393 -85.234 -85.048 -84.829 -84.571 -84.277
-74 -74.029 -74.064 -74.114 -74.18 -74.253 -74.318 -74.372 -74.418 -74.455 -74.485 -74.51 -74.532 -74.547 -74.554 -74.549 -74.532 -74.502 -74.458 -74.399 -74.326 -74.242 -74.151 -74.061 -73.984 -73.919 -73.865 -73.824 -73.794 -73.782 -73.795 -73.832 -73.892 -73.974 -74.078 -74.193 -74.309 -74.431 -74.558 -74.694 -74.85 -75.025 -75.222 -75.429 -75.687 -75.978 -76.304 -76.656 -77.031 -77.435 -77.864 -78.304 -78.749 -79.207 -79.683 -80.164 -80.642 -81.116 -81.591 -82.064 -82.54 -83.025 -83.499 -83.945 -84.354 -84.7 -84.972 -85.153 -85.227 -85.193 -85.052 -84.794 -84.444
-74 -74.022 -74.049 -74.091 -74.149 -74.222 -74.293 -74.354 -74.404 -74.446 -74.48 -74.506 -74.525 -74.538 -74.539 -74.528 -74.504 -74.469 -74.423 -74.363 -74.289 -74.205 -74.111 -74.011 -73.917 -73.836 -73.77 -73.719 -73.682 -73.657 -73.651 -73.67 -73.712 -73.779 -73.868 -73.976 -74.095 -74.216 -74.342 -74.475 -74.615 -74.776 -74.955 -75.157 -75.366 -75.618 -75.906 -76.23 -76.581 -76.956 -77.359 -77.786 -78.227 -78.673 -79.132 -79.608 -80.092 -80.573 -81.05 -81.527 -82.002 -82.48 -82.968 -83.446 -83.894 -84.308 -84.661 -84.938 -85.126 -85.208 -85.179 -85.041 -84.788
-74 -74.015 -74.035 -74.069 -74.119 -74.184 -74.256 -74.323 -74.379 -74.425 -74.463 -74.494 -74.512 -74.525 -74.525 -74.512 -74.485 -74.445 -74.395 -74.334 -74.26 -74.176 -74.083 -73.983 -73.877 -73.778 -73.696 -73.631 -73.582 -73.548 -73.529 -73.528 -73.553 -73.602 -73.676 -73.773 -73.891 -74.015 -74.141 -74.271 -74.408 -74.554 -74.72 -74.905 -75.112 -75.323 -75.571 -75.857 -76.18 -76.531 -76.907 -77.311 -77.738 -78.18 -78.628 -79.089 -79.566 -80.051 -80.534 -81.012 -81.49 -81.966 -82.444 -82.933 -83.411 -83.862 -84.277 -84.632 -84.913 -85.105 -85.189 -85.16 -85.019
-74 -74.022 -74.056 -74.101 -74.152 -74.21 -74.275 -74.341 -74.4 -74.449 -74.49 -74.52 -74.538 -74.549 -74.547 -74.534 -74.507 -74.47 -74.422 -74.36 -74.286 -74.207 -74.127 -74.052 -73.984 -73.923 -73.883 -73.885 -73.934 -74.031 -74.175 -74.367 -74.602 -74.866 -75.148 -75.442 -75.741 -76.039 -76.327 -76.611 -76.897 -77.195 -77.511 -77.859 -78.238 -78.633 -79.041 -79.464 -79.908 -80.365 -80.802 -81.206 -81.583 -81.938 -82.265 -82.564 -82.851 -83.143 -83.441 -83.744 -84.044 -84.326 -84.574 -84.774 -84.914 -84.978 -84.969 -84.905 -84.784 -84.605 -84.376 -84.102 -83.781
-74 -74.022 -74.054 -74.094 -74.144 -74.199 -74.258 -74.323 -74.385 -74.439 -74.484 -74.518 -74.538 -74.552 -74.553 -74.54 -74.514 -74.476 -74.427 -74.366 -74.291 -74.206 -74.119 -74.036 -73.96 -73.892 -73.831 -73.794 -73.802 -73.859 -73.964 -74.117 -74.321 -74.566 -74.839 -75.127 -75.426 -75.729 -76.031 -76.326 -76.615 -76.908 -77.211 -77.534 -77.891 -78.276 -78.675 -79.084 -79.509 -79.955 -80.409 -80.841 -81.241 -81.616 -81.968 -82.291 -82.586 -82.869 -83.157 -83.45 -83.748 -84.041 -84.315 -84.554 -84.743 -84.872 -84.924 -84.906 -84.834 -84.703 -84.516 -84.28 -83.998
-74 -74.022 -74.054 -74.093 -74.138 -74.192 -74.25 -74.312 -74.375 -74.434 -74.483 -74.522 -74.545 -74.564 -74.569 -74.559 -74.534 -74.496 -74.447 -74.387 -74.314 -74.228 -74.134 -74.041 -73.955 -73.877 -73.808 -73.746 -73.71 -73.721 -73.782 -73.892 -74.051 -74.261 -74.514 -74.791 -75.084 -75.386 -75.692 -75.996 -76.294 -76.588 -76.885 -77.193 -77.522 -77.886 -78.28 -78.684 -79.1 -79.53 -79.981 -80.436 -80.866 -81.265 -81.64 -81.99 -82.312 -82.605 -82.885 -83.169 -83.458 -83.75 -84.034 -84.296 -84.523 -84.699 -84.814 -84.856 -84.832 -84.753 -84.615 -84.421 -84.18
-74 -74.022 -74.054 -74.094 -74.139 -74.189 -74.245 -74.306 -74.37 -74.433 -74.488 -74.533 -74.562 -74.583 -74.592 -74.588 -74.567 -74.531 -74.484 -74.426 -74.355 -74.273 -74.179 -74.079 -73.983 -73.895 -73.817 -73.748 -73.687 -73.654 -73.669 -73.735 -73.85 -74.015 -74.234 -74.494 -74.777 -75.074 -75.379 -75.687 -75.992 -76.292 -76.588 -76.888 -77.2 -77.536 -77.909 -78.312 -78.729 -79.161 -79.61 -80.076 -80.539 -80.976 -81.381 -81.76 -82.114 -82.441 -82.74 -83.022 -83.305 -83.59 -83.874 -84.143 -84.383 -84.584 -84.738 -84.836 -84.874 -84.86 -84.794 -84.669 -84.494
-74 -74.022 -74.054 -74.095 -74.142 -74.191 -74.246 -74.308 -74.372 -74.438 -74.5 -74.553 -74.59 -74.611 -74.627 -74.63 -74.618 -74.588 -74.543 -74.485 -74.413 -74.329 -74.233 -74.128 -74.015 -73.904 -73.798 -73.703 -73.619 -73.545 -73.493 -73.485 -73.527 -73.618 -73.756 -73.944 -74.18 -74.448 -74.735 -75.035 -75.34 -75.645 -75.95 -76.255 -76.56 -76.874 -77.206 -77.572 -77.975 -78.399 -78.834 -79.284 -79.749 -80.217 -80.662 -81.074 -81.46 -81.817 -82.145 -82.442 -82.721 -82.998 -83.274 -83.546 -83.803 -84.03 -84.217 -84.354 -84.427 -84.433 -84.381 -84.271 -84.099
-74 -74.022 -74.054 -74.095 -74.144 -74.196 -74.253 -74.316 -74.384 -74.452 -74.52 -74.583 -74.63 -74.659 -74.677 -74.686 -74.683 -74.663 -74.625 -74.572 -74.505 -74.424 -74.33 -74.226 -74.111 -73.991 -73.876 -73.771 -73.677 -73.595 -73.521 -73.473 -73.471 -73.521 -73.619 -73.767 -73.966 -74.213 -74.489 -74.783 -75.086 -75.394 -75.7 -76.006 -76.311 -76.618 -76.935 -77.273 -77.647 -78.056 -78.484 -78.923 -79.378 -79.846 -80.313 -80.754 -81.164 -81.547 -81.903 -82.23 -82.525 -82.801 -83.075 -83.348 -83.616 -83.866 -84.085 -84.264 -84.392 -84.458 -84.46 -84.406 -84.294
-74 -74.014 -74.021 -74.031 -74.043 -74.059 -74.078 -74.103 -74.141 -74.196 -74.26 -74.328 -74.392 -74.444 -74.479 -74.498 -74.511 -74.51 -74.493 -74.459 -74.409 -74.348 -74.274 -74.189 -74.097 -74 -73.898 -73.791 -73.681 -73.569 -73.456 -73.342 -73.238 -73.157 -73.098 -73.06 -73.042 -73.044 -73.07 -73.124 -73.204 -73.31 -73.445 -73.614 -73.804 -73.997 -74.194 -74.401 -74.624 -74.86 -75.092 -75.318 -75.564 -75.845 -76.164 -76.521 -76.911 -77.328 -77.768 -78.225 -78.69 -79.155 -79.619 -80.087 -80.553 -81.011 -81.46 -81.907 -82.361 -82.81 -83.238 -83.641 -83.993
-74 -74.016 -74.025 -74.034 -74.046 -74.06 -74.077 -74.099 -74.128 -74.171 -74.23 -74.297 -74.366 -74.429 -74.478 -74.507 -74.524 -74.531 -74.526 -74.503 -74.463 -74.408 -74.341 -74.262 -74.173 -74.077 -73.976 -73.871 -73.763 -73.651 -73.537 -73.421 -73.303 -73.198 -73.115 -73.055 -73.016 -72.999 -73.002 -73.029 -73.085 -73.166 -73.274 -73.411 -73.583 -73.778 -73.975 -74.175 -74.383 -74.607 -74.843 -75.074 -75.3 -75.544 -75.822 -76.14 -76.495 -76.884 -77.298 -77.737 -78.194 -78.659 -79.124 -79.587 -80.056 -80.524 -80.983 -81.434 -81.882 -82.337 -82.787 -83.218 -83.623
-74 -74.018 -74.03 -74.04 -74.051 -74.064 -74.08 -74.1 -74.124 -74.157 -74.205 -74.267 -74.336 -74.405 -74.469 -74.514 -74.538 -74.553 -74.556 -74.545 -74.517 -74.472 -74.412 -74.339 -74.255 -74.162 -74.063 -73.958 -73.851 -73.741 -73.627 -73.511 -73.394 -73.276 -73.169 -73.086 -73.025 -72.987 -72.97 -72.974 -73.003 -73.061 -73.141 -73.248 -73.39 -73.569 -73.767 -73.966 -74.168 -74.378 -74.602 -74.837 -75.068 -75.293 -75.536 -75.813 -76.129 -76.484 -76.872 -77.286 -77.724 -78.181 -78.646 -79.111 -79.575 -80.044 -80.512 -80.972 -81.423 -81.871 -82.326 -82.776 -83.207
-74 -74.02 -74.035 -74.047 -74.058 -74.071 -74.085 -74.103 -74.124 -74.151 -74.189 -74.241 -74.306 -74.377 -74.447 -74.509 -74.551 -74.571 -74.584 -74.584 -74.57 -74.538 -74.489 -74.425 -74.348 -74.261 -74.165 -74.062 -73.954 -73.845 -73.732 -73.617 -73.5 -73.382 -73.263 -73.155 -73.071 -73.01 -72.972 -72.955 -72.96 -72.989 -73.048 -73.128 -73.235 -73.379 -73.56 -73.759 -73.96 -74.163 -74.373 -74.597 -74.832 -75.063 -75.288 -75.53 -75.806 -76.122 -76.476 -76.864 -77.277 -77.715 -78.172 -78.637 -79.102 -79.566 -80.035 -80.504 -80.964 -81.415 -81.864 -82.319 -82.77
-74 -74.023 -74.042 -74.055 -74.069 -74.082 -74.095 -74.111 -74.13 -74.152 -74.182 -74.224 -74.28 -74.347 -74.42 -74.492 -74.552 -74.591 -74.608 -74.619 -74.617 -74.601 -74.567 -74.515 -74.447 -74.367 -74.275 -74.177 -74.071 -73.963 -73.85 -73.735 -73.618 -73.5 -73.381 -73.262 -73.155 -73.071 -73.01 -72.972 -72.955 -72.96 -72.99 -73.048 -73.128 -73.237 -73.381 -73.563 -73.762 -73.962 -74.165 -74.376 -74.6 -74.834 -75.065 -75.307 -75.57 -75.862 -76.188 -76.55 -76.945 -77.365 -77.809 -78.269 -78.737 -79.202 -79.664 -80.13 -80.595 -81.05 -81.495 -81.939 -82.388
-74 -74.025 -74.05 -74.069 -74.084 -74.099 -74.113 -74.128 -74.145 -74.165 -74.188 -74.221 -74.267 -74.325 -74.395 -74.469 -74.542 -74.601 -74.638 -74.652 -74.663 -74.661 -74.643 -74.607 -74.553 -74.484 -74.4 -74.305 -74.201 -74.095 -73.983 -73.87 -73.755 -73.638 -73.518 -73.398 -73.277 -73.167 -73.082 -73.019 -72.979 -72.962 -72.965 -72.992 -73.045 -73.122 -73.23 -73.372 -73.55 -73.748 -73.947 -74.15 -74.358 -74.583 -74.819 -75.052 -75.277 -75.519 -75.795 -76.11 -76.463 -76.85 -77.262 -77.699 -78.155 -78.62 -79.086 -79.551 -80.021 -80.491 -80.953 -81.407 -81.856
-74 -74.025 -74.041 -74.055 -74.07 -74.086 -74.102 -74.116 -74.132 -74.149 -74.17 -74.195 -74.23 -74.277 -74.338 -74.409 -74.484 -74.557 -74.616 -74.651 -74.666 -74.675 -74.671 -74.652 -74.615 -74.559 -74.488 -74.402 -74.306 -74.2 -74.091 -73.979 -73.866 -73.749 -73.631 -73.511 -73.39 -73.269 -73.159 -73.074 -73.011 -72.971 -72.954 -72.957 -72.986 -73.043 -73.126 -73.236 -73.376 -73.551 -73.75 -73.949 -74.152 -74.361 -74.586 -74.821 -75.053 -75.278 -75.52 -75.796 -76.111 -76.464 -76.851 -77.264 -77.701 -78.157 -78.621 -79.086 -79.55 -80.021 -80.49 -80.952 -81.405
-74 -74.034 -74.055 -74.07 -74.087 -74.103 -74.12 -74.137 -74.152 -74.168 -74.185 -74.206 -74.232 -74.269 -74.318 -74.38 -74.452 -74.528 -74.601 -74.659 -74.695 -74.71 -74.719 -74.715 -74.696 -74.659 -74.603 -74.531 -74.445 -74.346 -74.237 -74.119 -73.993 -73.867 -73.75 -73.647 -73.555 -73.475 -73.405 -73.363 -73.371 -73.431 -73.542 -73.703 -73.92 -74.182 -74.471 -74.773 -75.083 -75.395 -75.703 -76.01 -76.318 -76.63 -76.955 -77.305 -77.693 -78.114 -78.552 -79.001 -79.464 -79.935 -80.398 -80.835 -81.241 -81.621 -81.974 -82.297 -82.586 -82.854 -83.119 -83.381 -83.635
-74 -74.044 -74.074 -74.094 -74.111 -74.129 -74.147 -74.164 -74.181 -74.197 -74.213 -74.231 -74.251 -74.278 -74.315 -74.365 -74.428 -74.5 -74.576 -74.649 -74.707 -74.744 -74.76 -74.77 -74.767 -74.749 -74.713 -74.659 -74.588 -74.501 -74.4 -74.289 -74.168 -74.039 -73.908 -73.788 -73.68 -73.585 -73.502 -73.43 -73.384 -73.387 -73.443 -73.549 -73.705 -73.915 -74.173 -74.459 -74.759 -75.067 -75.378 -75.686 -75.993 -76.301 -76.612 -76.935 -77.283 -77.669 -78.088 -78.525 -78.973 -79.436 -79.908 -80.372 -80.81 -81.218 -81.599 -81.952 -82.277 -82.567 -82.837 -83.103 -83.367
-74 -74.053 -74.092 -74.122 -74.144 -74.162 -74.181 -74.2 -74.218 -74.235 -74.251 -74.267 -74.284 -74.304 -74.331 -74.368 -74.418 -74.481 -74.553 -74.628 -74.701 -74.759 -74.796 -74.813 -74.824 -74.823 -74.807 -74.773 -74.721 -74.652 -74.568 -74.467 -74.354 -74.231 -74.099 -73.965 -73.84 -73.729 -73.631 -73.546 -73.471 -73.421 -73.42 -73.471 -73.572 -73.723 -73.928 -74.182 -74.464 -74.762 -75.068 -75.378 -75.685 -75.992 -76.299 -76.609 -76.931 -77.276 -77.659 -78.075 -78.51 -78.957 -79.419 -79.892 -80.358 -80.799 -81.208 -81.591 -81.946 -82.272 -82.565 -82.836 -83.105
-74 -74.062 -74.11 -74.149 -74.18 -74.203 -74.223 -74.242 -74.262 -74.28 -74.297 -74.313 -74.328 -74.345 -74.364 -74.39 -74.427 -74.476 -74.537 -74.608 -74.682 -74.755 -74.815 -74.852 -74.869 -74.883 -74.884 -74.871 -74.841 -74.792 -74.726 -74.645 -74.547 -74.434 -74.309 -74.174 -74.037 -73.908 -73.793 -73.691 -73.603 -73.525 -73.472 -73.465 -73.511 -73.606 -73.751 -73.949 -74.197 -74.475 -74.769 -75.073 -75.381 -75.687 -75.993 -76.3 -76.608 -76.928 -77.27 -77.648 -78.061 -78.494 -78.938 -79.398 -79.871 -80.339 -80.781 -81.192 -81.576 -81.933 -82.26 -82.555 -82.83
-74 -74.071 -74.128 -74.176 -74.215 -74.247 -74.271 -74.291 -74.311 -74.331 -74.35 -74.367 -74.382 -74.396 -74.412 -74.43 -74.454 -74.489 -74.536 -74.596 -74.665 -74.738 -74.809 -74.87 -74.909 -74.929 -74.944 -74.948 -74.938 -74.912 -74.867 -74.806 -74.728 -74.634 -74.523 -74.397 -74.26 -74.12 -73.988 -73.868 -73.763 -73.671 -73.59 -73.535 -73.523 -73.562 -73.651 -73.79 -73.981 -74.222 -74.495 -74.786 -75.087 -75.393 -75.698 -76.003 -76.308 -76.614 -76.931 -77.269 -77.642 -78.051 -78.481 -78.922 -79.38 -79.852 -80.322 -80.767 -81.179 -81.564 -81.923 -82.252 -82.549
-74 -74.078 -74.161 -74.239 -74.308 -74.369 -74.419 -74.454 -74.478 -74.498 -74.518 -74.535 -74.551 -74.564 -74.576 -74.589 -74.604 -74.623 -74.651 -74.691 -74.743 -74.805 -74.872 -74.939 -75.001 -75.046 -75.074 -75.094 -75.106 -75.107 -75.092 -75.059 -75.009 -74.94 -74.851 -74.747 -74.631 -74.506 -74.374 -74.239 -74.101 -73.963 -73.825 -73.687 -73.562 -73.46 -73.381 -73.323 -73.285 -73.268 -73.273 -73.303 -73.358 -73.437 -73.543 -73.672 -73.811 -73.945 -74.08 -74.221 -74.37 -74.535 -74.717 -74.918 -75.123 -75.344 -75.606 -75.909 -76.244 -76.602 -76.989 -77.401 -77.832
-74 -74.065 -74.145 -74.231 -74.31 -74.381 -74.443 -74.495 -74.533 -74.558 -74.577 -74.595 -74.612 -74.626 -74.638 -74.649 -74.66 -74.673 -74.689 -74.711 -74.745 -74.79 -74.847 -74.909 -74.973 -75.034 -75.082 -75.114 -75.136 -75.152 -75.158 -75.149 -75.123 -75.079 -75.014 -74.929 -74.829 -74.718 -74.596 -74.467 -74.332 -74.194 -74.054 -73.915 -73.776 -73.65 -73.546 -73.465 -73.404 -73.364 -73.343 -73.345 -73.371 -73.421 -73.496 -73.594 -73.714 -73.842 -73.971 -74.103 -74.241 -74.386 -74.546 -74.722 -74.916 -75.117 -75.334 -75.592 -75.892 -76.223 -76.577 -76.959 -77.367
-74 -74.052 -74.118 -74.2 -74.285 -74.363 -74.433 -74.495 -74.547 -74.587 -74.612 -74.63 -74.647 -74.662 -74.675 -74.685 -74.695 -74.704 -74.715 -74.728 -74.745 -74.77 -74.808 -74.858 -74.915 -74.974 -75.032 -75.082 -75.119 -75.143 -75.163 -75.172 -75.169 -75.149 -75.113 -75.054 -74.975 -74.879 -74.772 -74.656 -74.532 -74.401 -74.265 -74.127 -73.988 -73.85 -73.723 -73.619 -73.537 -73.475 -73.433 -73.409 -73.408 -73.431 -73.479 -73.549 -73.643 -73.758 -73.883 -74.009 -74.139 -74.274 -74.417 -74.574 -74.747 -74.937 -75.137 -75.352 -75.611 -75.911 -76.242 -76.595 -76.975
-74 -74.039 -74.091 -74.157 -74.237 -74.32 -74.395 -74.462 -74.522 -74.573 -74.613 -74.641 -74.66 -74.673 -74.686 -74.697 -74.706 -74.714 -74.722 -74.731 -74.741 -74.753 -74.77 -74.799 -74.84 -74.89 -74.944 -74.999 -75.048 -75.09 -75.12 -75.142 -75.157 -75.159 -75.148 -75.121 -75.071 -75.002 -74.918 -74.822 -74.714 -74.598 -74.474 -74.343 -74.208 -74.072 -73.934 -73.808 -73.705 -73.622 -73.559 -73.515 -73.489 -73.484 -73.504 -73.549 -73.617 -73.707 -73.819 -73.941 -74.065 -74.192 -74.325 -74.466 -74.62 -74.791 -74.979 -75.177 -75.393 -75.655 -75.957 -76.29 -76.644
-74 -74.026 -74.065 -74.117 -74.18 -74.256 -74.335 -74.406 -74.47 -74.527 -74.575 -74.614 -74.642 -74.665 -74.685 -74.704 -74.724 -74.748 -74.781 -74.825 -74.881 -74.949 -75.025 -75.11 -75.203 -75.301 -75.399 -75.49 -75.569 -75.634 -75.679 -75.709 -75.733 -75.75 -75.754 -75.744 -75.721 -75.674 -75.609 -75.526 -75.43 -75.323 -75.204 -75.075 -74.934 -74.783 -74.626 -74.462 -74.308 -74.181 -74.077 -73.995 -73.931 -73.884 -73.857 -73.854 -73.876 -73.923 -73.996 -74.094 -74.203 -74.313 -74.424 -74.541 -74.665 -74.8 -74.95 -75.115 -75.294 -75.494 -75.747 -76.04 -76.362
-74 -74.013 -74.039 -74.077 -74.126 -74.186 -74.257 -74.33 -74.396 -74.456 -74.509 -74.555 -74.592 -74.62 -74.644 -74.668 -74.695 -74.73 -74.774 -74.834 -74.915 -75.017 -75.138 -75.276 -75.427 -75.579 -75.726 -75.867 -75.998 -76.115 -76.215 -76.291 -76.35 -76.392 -76.417 -76.427 -76.423 -76.409 -76.385 -76.347 -76.293 -76.221 -76.131 -76.03 -75.923 -75.81 -75.689 -75.558 -75.415 -75.275 -75.15 -75.042 -74.952 -74.877 -74.816 -74.77 -74.739 -74.726 -74.73 -74.753 -74.794 -74.847 -74.907 -74.977 -75.059 -75.154 -75.261 -75.383 -75.519 -75.664 -75.814 -76.012 -76.26
-74 -74.007 -74.021 -74.05 -74.096 -74.158 -74.234 -74.327 -74.431 -74.543 -74.664 -74.797 -74.942 -75.098 -75.258 -75.418 -75.579 -75.745 -75.918 -76.104 -76.309 -76.525 -76.747 -76.972 -77.196 -77.416 -77.659 -77.953 -78.292 -78.666 -79.075 -79.519 -79.968 -80.394 -80.805 -81.208 -81.612 -82.023 -82.441 -82.842 -83.22 -83.582 -83.943 -84.315 -84.69 -85.066 -85.441 -85.814 -86.187 -86.563 -86.929 -87.26 -87.555 -87.811 -88.027 -88.197 -88.317 -88.389 -88.422 -88.42 -88.391 -88.343 -88.286 -88.231 -88.178 -88.127 -88.077 -88.029 -87.977 -87.916 -87.846 -87.769 -87.685
-74 -74.009 -74.016 -74.028 -74.057 -74.102 -74.165 -74.244 -74.334 -74.433 -74.544 -74.671 -74.817 -74.983 -75.169 -75.367 -75.568 -75.774 -75.986 -76.202 -76.429 -76.669 -76.914 -77.161 -77.403 -77.638 -77.863 -78.105 -78.39 -78.716 -79.083 -79.487 -79.926 -80.364 -80.769 -81.142 -81.493 -81.83 -82.173 -82.536 -82.905 -83.271 -83.631 -83.995 -84.373 -84.78 -85.218 -85.68 -86.161 -86.665 -87.192 -87.706 -88.165 -88.567 -88.913 -89.208 -89.452 -89.642 -89.778 -89.867 -89.912 -89.913 -89.877 -89.819 -89.753 -89.68 -89.604 -89.524 -89.439 -89.346 -89.246 -89.162 -89.107
-74 -74.011 -74.024 -74.031 -74.042 -74.072 -74.123 -74.192 -74.273 -74.359 -74.452 -74.562 -74.694 -74.851 -75.035 -75.247 -75.476 -75.715 -75.961 -76.212 -76.472 -76.744 -77.025 -77.304 -77.577 -77.84 -78.087 -78.318 -78.56 -78.836 -79.144 -79.482 -79.849 -80.241 -80.638 -81.02 -81.386 -81.736 -82.07 -82.402 -82.748 -83.102 -83.456 -83.806 -84.151 -84.494 -84.861 -85.273 -85.733 -86.24 -86.798 -87.408 -88.034 -88.628 -89.179 -89.676 -90.108 -90.46 -90.72 -90.903 -91.021 -91.089 -91.114 -91.1 -91.078 -91.049 -91.005 -90.946 -90.877 -90.798 -90.712 -90.622 -90.526
