Longitude_back72hr_30m[][0] Longitude_back72hr_30m[][1] Longitude_back72hr_30m[][2] Longitude_back72hr_30m[][3] Longitude_back72hr_30m[][4] Longitude_back72hr_30m[][5] Longitude_back72hr_30m[][6] Longitude_back72hr_30m[][7] Longitude_back72hr_30m[][8] Longitude_back72hr_30m[][9] Longitude_back72hr_30m[][10] Longitude_back72hr_30m[][11] Longitude_back72hr_30m[][12] Longitude_back72hr_30m[][13] Longitude_back72hr_30m[][14] Longitude_back72hr_30m[][15] Longitude_back72hr_30m[][16] Longitude_back72hr_30m[][17] Longitude_back72hr_30m[][18] Longitude_back72hr_30m[][19] Longitude_back72hr_30m[][20] Longitude_back72hr_30m[][21] Longitude_back72hr_30m[][22] Longitude_back72hr_30m[][23] Longitude_back72hr_30m[][24] Longitude_back72hr_30m[][25] Longitude_back72hr_30m[][26] Longitude_back72hr_30m[][27] Longitude_back72hr_30m[][28] Longitude_back72hr_30m[][29] Longitude_back72hr_30m[][30] Longitude_back72hr_30m[][31] Longitude_back72hr_30m[][32] Longitude_back72hr_30m[][33] Longitude_back72hr_30m[][34] Longitude_back72hr_30m[][35] Longitude_back72hr_30m[][36] Longitude_back72hr_30m[][37] Longitude_back72hr_30m[][38] Longitude_back72hr_30m[][39] Longitude_back72hr_30m[][40] Longitude_back72hr_30m[][41] Longitude_back72hr_30m[][42] Longitude_back72hr_30m[][43] Longitude_back72hr_30m[][44] Longitude_back72hr_30m[][45] Longitude_back72hr_30m[][46] Longitude_back72hr_30m[][47] Longitude_back72hr_30m[][48] Longitude_back72hr_30m[][49] Longitude_back72hr_30m[][50] Longitude_back72hr_30m[][51] Longitude_back72hr_30m[][52] Longitude_back72hr_30m[][53] Longitude_back72hr_30m[][54] Longitude_back72hr_30m[][55] Longitude_back72hr_30m[][56] Longitude_back72hr_30m[][57] Longitude_back72hr_30m[][58] Longitude_back72hr_30m[][59] Longitude_back72hr_30m[][60] Longitude_back72hr_30m[][61] Longitude_back72hr_30m[][62] Longitude_back72hr_30m[][63] Longitude_back72hr_30m[][64] Longitude_back72hr_30m[][65] Longitude_back72hr_30m[][66] Longitude_back72hr_30m[][67] Longitude_back72hr_30m[][68] Longitude_back72hr_30m[][69] Longitude_back72hr_30m[][70] Longitude_back72hr_30m[][71] Longitude_back72hr_30m[][72]
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
-74 -74.138 -74.265 -74.396 -74.532 -74.67 -74.994 -75.343 -75.662 -75.917 -76.226 -76.514 -76.809 -77.109 -77.412 -77.713 -78.011 -78.317 -78.641 -78.981 -79.331 -79.687 -80.046 -80.391 -80.707 -80.997 -81.26 -81.497 -81.707 -81.891 -82.055 -82.198 -82.318 -82.417 -82.496 -82.567 -82.638 -82.709 -82.779 -82.849 -82.918 -82.986 -83.056 -83.134 -83.222 -83.316 -83.415 -83.499 -83.552 -83.578 -83.586 -83.585 -83.58 -83.576 -83.583 -83.603 -83.638 -83.692 -83.766 -83.855 -83.952 -84.058 -84.174 -84.3 -84.439 -84.565 -84.654 -84.71 -84.737 -84.738 -84.719 -84.69 -84.657
-74 -74.137 -74.262 -74.391 -74.523 -74.661 -74.8 -75.129 -75.478 -75.796 -76.048 -76.347 -76.628 -76.916 -77.209 -77.505 -77.801 -78.097 -78.404 -78.729 -79.069 -79.419 -79.776 -80.138 -80.487 -80.806 -81.098 -81.363 -81.6 -81.809 -81.993 -82.157 -82.299 -82.419 -82.519 -82.599 -82.671 -82.745 -82.819 -82.895 -82.971 -83.048 -83.126 -83.205 -83.293 -83.39 -83.491 -83.596 -83.683 -83.738 -83.766 -83.779 -83.787 -83.788 -83.786 -83.794 -83.816 -83.855 -83.913 -83.993 -84.09 -84.197 -84.313 -84.44 -84.577 -84.714 -84.826 -84.902 -84.947 -84.964 -84.959 -84.936 -84.904
-74 -74.137 -74.261 -74.386 -74.515 -74.648 -74.787 -74.926 -75.26 -75.61 -75.926 -76.178 -76.465 -76.732 -77.004 -77.282 -77.567 -77.857 -78.154 -78.465 -78.791 -79.132 -79.485 -79.848 -80.216 -80.568 -80.891 -81.185 -81.451 -81.69 -81.901 -82.087 -82.252 -82.396 -82.52 -82.623 -82.709 -82.787 -82.869 -82.957 -83.049 -83.145 -83.247 -83.35 -83.454 -83.567 -83.688 -83.81 -83.928 -84.024 -84.082 -84.113 -84.131 -84.145 -84.151 -84.154 -84.167 -84.193 -84.237 -84.302 -84.394 -84.504 -84.625 -84.756 -84.896 -85.03 -85.15 -85.245 -85.31 -85.349 -85.364 -85.359 -85.337
-74 -74.154 -74.318 -74.483 -74.643 -74.788 -74.919 -75.054 -75.188 -75.533 -75.882 -76.195 -76.456 -76.719 -76.957 -77.208 -77.473 -77.752 -78.04 -78.343 -78.667 -79.007 -79.361 -79.725 -80.095 -80.459 -80.803 -81.118 -81.406 -81.667 -81.899 -82.103 -82.281 -82.439 -82.577 -82.694 -82.791 -82.87 -82.943 -83.018 -83.096 -83.176 -83.259 -83.345 -83.435 -83.529 -83.63 -83.733 -83.835 -83.935 -84.018 -84.071 -84.106 -84.129 -84.136 -84.127 -84.114 -84.114 -84.13 -84.166 -84.227 -84.315 -84.424 -84.545 -84.679 -84.816 -84.942 -85.055 -85.142 -85.197 -85.225 -85.229 -85.213
-74 -74.151 -74.314 -74.484 -74.655 -74.819 -74.969 -75.102 -75.234 -75.365 -75.716 -76.065 -76.379 -76.641 -76.896 -77.131 -77.382 -77.649 -77.927 -78.219 -78.529 -78.861 -79.21 -79.572 -79.944 -80.314 -80.672 -81.01 -81.32 -81.603 -81.859 -82.086 -82.284 -82.456 -82.608 -82.739 -82.85 -82.942 -83.017 -83.087 -83.16 -83.238 -83.32 -83.406 -83.497 -83.594 -83.695 -83.798 -83.9 -84 -84.096 -84.175 -84.229 -84.267 -84.291 -84.297 -84.287 -84.276 -84.278 -84.299 -84.343 -84.414 -84.517 -84.646 -84.782 -84.915 -85.037 -85.145 -85.24 -85.317 -85.37 -85.402 -85.416
-74 -74.149 -74.309 -74.477 -74.652 -74.826 -74.993 -75.145 -75.279 -75.408 -75.536 -75.892 -76.241 -76.554 -76.826 -77.059 -77.285 -77.533 -77.798 -78.076 -78.371 -78.688 -79.026 -79.381 -79.749 -80.124 -80.49 -80.842 -81.174 -81.479 -81.757 -82.008 -82.229 -82.422 -82.589 -82.735 -82.86 -82.965 -83.053 -83.124 -83.19 -83.261 -83.338 -83.42 -83.507 -83.601 -83.701 -83.803 -83.905 -84.004 -84.101 -84.193 -84.27 -84.324 -84.36 -84.379 -84.382 -84.37 -84.357 -84.359 -84.382 -84.429 -84.506 -84.619 -84.754 -84.885 -85.008 -85.119 -85.217 -85.305 -85.377 -85.428 -85.46
-74 -74.147 -74.305 -74.471 -74.643 -74.82 -74.996 -75.164 -75.317 -75.449 -75.576 -75.7 -76.061 -76.409 -76.72 -76.992 -77.227 -77.46 -77.712 -77.978 -78.259 -78.561 -78.885 -79.231 -79.595 -79.971 -80.346 -80.706 -81.053 -81.381 -81.681 -81.955 -82.201 -82.417 -82.605 -82.766 -82.906 -83.025 -83.126 -83.211 -83.279 -83.343 -83.415 -83.493 -83.578 -83.669 -83.768 -83.871 -83.974 -84.075 -84.174 -84.267 -84.356 -84.429 -84.481 -84.514 -84.527 -84.523 -84.503 -84.482 -84.479 -84.499 -84.547 -84.628 -84.741 -84.866 -84.986 -85.097 -85.196 -85.285 -85.366 -85.433 -85.481
-74 -74.144 -74.3 -74.464 -74.634 -74.808 -74.988 -75.164 -75.332 -75.484 -75.614 -75.737 -75.857 -76.225 -76.572 -76.88 -77.155 -77.4 -77.64 -77.895 -78.164 -78.452 -78.762 -79.094 -79.449 -79.82 -80.198 -80.567 -80.921 -81.262 -81.584 -81.879 -82.147 -82.386 -82.596 -82.777 -82.932 -83.066 -83.179 -83.275 -83.355 -83.419 -83.48 -83.55 -83.626 -83.71 -83.802 -83.899 -83.998 -84.097 -84.193 -84.285 -84.372 -84.453 -84.521 -84.568 -84.592 -84.594 -84.576 -84.539 -84.501 -84.484 -84.492 -84.53 -84.596 -84.689 -84.797 -84.903 -85.002 -85.092 -85.171 -85.242 -85.297
-74 -74.142 -74.296 -74.458 -74.626 -74.798 -74.974 -75.154 -75.331 -75.496 -75.646 -75.773 -75.892 -76.008 -76.382 -76.728 -77.036 -77.317 -77.566 -77.81 -78.067 -78.342 -78.64 -78.959 -79.3 -79.662 -80.04 -80.416 -80.777 -81.125 -81.46 -81.777 -82.065 -82.325 -82.555 -82.758 -82.933 -83.082 -83.21 -83.319 -83.41 -83.486 -83.547 -83.605 -83.672 -83.746 -83.827 -83.915 -84.006 -84.099 -84.19 -84.278 -84.362 -84.44 -84.511 -84.569 -84.607 -84.623 -84.619 -84.598 -84.561 -84.525 -84.512 -84.523 -84.558 -84.616 -84.7 -84.797 -84.891 -84.978 -85.056 -85.122 -85.178
-74 -74.16 -74.358 -74.586 -74.838 -75.108 -75.391 -75.679 -75.962 -76.235 -76.501 -76.752 -76.981 -77.171 -77.314 -77.599 -77.948 -78.284 -78.591 -78.853 -79.093 -79.402 -79.723 -80.062 -80.418 -80.785 -81.153 -81.51 -81.858 -82.191 -82.505 -82.8 -83.071 -83.318 -83.542 -83.743 -83.918 -84.06 -84.171 -84.262 -84.338 -84.405 -84.465 -84.52 -84.581 -84.661 -84.761 -84.882 -85.018 -85.167 -85.319 -85.46 -85.584 -85.685 -85.765 -85.823 -85.855 -85.861 -85.846 -85.813 -85.764 -85.698 -85.629 -85.573 -85.535 -85.516 -85.52 -85.552 -85.602 -85.655 -85.712 -85.772 -85.836
